feature,importance_mean,importance_std
device_fraud_rate_smoothed,0.2977318028597645,0.013804907017162187
receiver_fraud_rate_smoothed,0.19250968209364283,0.004237210975774365
device_first_seen_days_ago,0.02605170665909177,0.0033591927233109255
UniqueIPCount,0.02026631013498026,0.00417300703279477
CustomerTenure,0.010801020974805472,0.001474541888410482
receiver_first_seen_days_ago,0.008669893432401285,0.0024365698205570463
os_l8h,0.0062553600863645515,0.0035188197014437194
DeviceModel,0.005459679328786955,0.002424937256374319
IsFractionalAmount,0.00419489023579489,0.00012569310190405748
DeviceParentBrand,0.0038035359326264264,0.0022318654136982115
HasMobileActivationL8H,0.0025847817662506545,0.00039014208005153165
CustomerProfession,0.001681950100396919,0.0005280140339503073
CustomerSegment,0.0012164460623745506,0.0007397316645904202
receiver_amount_mean_prev,0.0009030325486775181,0.0005536052244674738
receiver_amount_max_prev,0.0008461358279709952,0.0009313836458187931
receiver_distinct_senders_all,0.0008447156743747927,0.000782457467384423
account_tx_count_all,0.0005420271559961609,0.00011626413939200839
receiver_tx_count_all,0.0004957478515306516,0.0004303361652122983
receiver_distinct_devices_all,0.0004841242258808072,0.0002827765369505693
HasMobileActivationL1H,0.0004361000829278261,6.789441767372475e-06
device_is_first_seen,0.00031508727959128624,0.0
receiver_is_first_seen,0.000199062614019474,0.00025597238582807715
account_is_first_seen,0.00013411095184974928,0.0002841860736997448
receiver_tx_count_30d,0.0,0.0
receiver_amount_std_prev,0.0,0.0
TransactionAmount,0.0,0.0
os_l1h,0.0,0.0
is_holiday,0.0,0.0
device_tx_count_all,0.0,0.0
DeviceOSName,0.0,0.0
TransactionType,0.0,0.0
device_label_n,0.0,0.0
receiver_amount_ratio_to_mean,0.0,0.0
subnet_tx_count_all,0.0,0.0
device_tx_count_30d,0.0,0.0
device_distinct_accounts_all,0.0,0.0
device_amount_max_prev,0.0,0.0
device_amount_std_prev,0.0,0.0
device_distinct_receivers_all,0.0,0.0
receiver_tx_count_7d,0.0,0.0
subnet_distinct_devices_all,0.0,0.0
subnet_tx_count_7d,0.0,0.0
account_first_seen_days_ago,0.0,0.0
device_tx_count_1d,-0.00015104840289711005,0.00013766073641003298
receiver_label_n,-0.00017502222190142933,0.0008190590122214586
DayType_clean,-0.00030771403095068245,0.000365580752110407
device_amount_mean_prev,-0.0003545082722936262,0.0002396105485461676
amount_log,-0.0012470341941279717,0.00125617513763364
device_amount_ratio_to_mean,-0.001586418203642433,0.0009074451591890214
device_tx_count_7d,-0.0019572694600672458,0.0009929955396174247
