feature,importance_mean,importance_std
device_fraud_rate_smoothed,0.3083215815472731,0.02715992729537851
receiver_fraud_rate_smoothed,0.21703062455725808,0.012887150491842227
DeviceModel,0.030062521347966015,0.01188268902876423
device_first_seen_days_ago,0.017139375922701983,0.004019055545091578
receiver_first_seen_days_ago,0.01557245735049965,0.0031528437806586512
CustomerProfession,0.011573131928494962,0.0021209701551394063
UniqueIPCount,0.010733608780212752,0.0004932450417952858
os_l8h,0.004541852171073539,0.0027551071767109767
CustomerTenure,0.0035391045797339427,0.0008752185868303973
IsFractionalAmount,0.003323553494786524,0.0005512292639467182
receiver_distinct_devices_all,0.003108462458744743,0.0006494139363692116
DeviceParentBrand,0.002264067407145206,0.0025956055728095255
CustomerSegment,0.001764180337530082,0.0004270457238343034
receiver_amount_mean_prev,0.0010065928643044157,0.0006957983964637448
receiver_amount_max_prev,0.0007902467012490533,0.00015173325518031756
receiver_distinct_senders_all,0.0006292692462529134,0.00011545107770320565
account_tx_count_all,0.0005456972384723091,0.00016983981985127533
HasMobileActivationL8H,0.00043618631164580685,1.0467283213866505e-16
device_is_first_seen,0.00029821295238330325,0.0
receiver_label_n,0.0002951334997297235,0.0002732191895988327
receiver_tx_count_all,0.0002123640707874704,9.998971194892432e-05
device_tx_count_7d,0.00020193633305295075,3.356070895385588e-05
receiver_is_first_seen,0.0001500337575955172,5.2336416069332526e-17
device_tx_count_1d,0.00013550135501361193,0.0
device_amount_ratio_to_mean,9.394410449951411e-05,4.986021235363459e-05
amount_log,6.536162222129753e-05,0.00014065294466849472
DayType_clean,1.9682655038673797e-05,2.783547769928213e-05
device_amount_mean_prev,5.924701884059876e-06,7.471706779294793e-05
HasMobileActivationL1H,3.700743415417188e-17,5.233641528945917e-17
account_is_first_seen,0.0,0.0
receiver_tx_count_7d,0.0,0.0
is_round_amount,0.0,0.0
dow,0.0,0.0
account_first_seen_days_ago,0.0,0.0
is_weekend,0.0,0.0
device_amount_std_prev,-1.2392281816930861e-05,3.1768658829834185e-05
TransactionType,-3.394835110718623e-05,8.462241433638331e-05
is_holiday,-6.0937500000024514e-05,8.617863895714516e-05
device_amount_max_prev,-7.471665890390611e-05,0.0
hour,-8.973228099499557e-05,0.00017036790530316134
amount_cents,-9.593727868732287e-05,9.357895698816175e-05
amount_bucket,-0.00013773373979094247,7.941253568270641e-05
receiver_amount_std_prev,-0.00017502623816882204,0.0001488906185438837
receiver_tx_count_30d,-0.000255887098648692,7.338003304025303e-05
device_tx_count_30d,-0.0003219743864686375,0.00028069902148270687
DeviceOSName,-0.0003567972516710742,0.00023159570510362468
os_l1h,-0.00040698353903523277,0.0001182520647983668
device_tx_count_all,-0.000509592979546262,0.0006065407739631645
TransactionAmount,-0.0005833819872744413,0.0007397337535904269
device_distinct_accounts_all,-0.0008598755612212831,0.0002087646851201867
receiver_amount_ratio_to_mean,-0.000897150942399135,0.0009063485018478706
subnet_tx_count_7d,-0.0009301139552459666,0.00023874298074951753
subnet_distinct_devices_all,-0.001064152491471404,0.00047672342309646116
device_label_n,-0.0012949207266143754,0.0002961037679275339
subnet_tx_count_all,-0.0016742033785641652,0.0026888888325267003
device_distinct_receivers_all,-0.0020081922792662965,0.00017949283555790667
