k_frac,n_alerts,threshold,precision,recall,capture_pct,f1,f2,tp,fp,fn,split
0.001,86,0.9999962891537651,1.0,0.26380368098159507,26.380368098159508,0.4174757281553398,0.30935251798561153,86,0,240,val
0.0025,214,0.9994732163039459,0.9953271028037384,0.6533742331288344,65.33742331288343,0.7888888888888889,0.7015810276679841,213,1,113,val
0.005,428,0.3537921757036371,0.7266355140186916,0.9539877300613497,95.39877300613497,0.8249336870026526,0.8978060046189377,311,117,15,val
0.01,857,0.044569103412060836,0.3710618436406068,0.9754601226993865,97.54601226993866,0.5376162299239222,0.7357704766311892,318,539,8,val
0.025,2142,0.006110245185780511,0.15126050420168066,0.9938650306748467,99.38650306748467,0.2625607779578606,0.4701102727800348,324,1818,2,val
0.05,4283,0.0016844512864565592,0.07588139154798039,0.9969325153374233,99.69325153374233,0.14102842265133433,0.29085376767495974,325,3958,1,val
0.1,8566,0.0005027478228206071,0.038057436376371705,1.0,100.0,0.07332433648223122,0.1651469098277609,326,8240,0,val
0.001,158,0.9897076929344119,0.9746835443037974,0.6470588235294118,64.70588235294117,0.7777777777777778,0.6936936936936937,154,4,84,test
0.0025,396,0.426394843957379,0.5151515151515151,0.8571428571428571,85.71428571428571,0.6435331230283912,0.7566765578635015,204,192,34,test
0.005,792,0.11774599417039383,0.2702020202020202,0.8991596638655462,89.91596638655463,0.4155339805825243,0.6135321100917431,214,578,24,test
0.01,1585,0.029342185609443943,0.138801261829653,0.9243697478991597,92.43697478991596,0.24136039495337355,0.43358297201419,220,1365,18,test
0.025,3962,0.005453749684797617,0.05628470469459869,0.9369747899159664,93.69747899159664,0.1061904761904762,0.2269027269027269,223,3739,15,test
0.05,7924,0.0016326729633513771,0.029025744573447754,0.9663865546218487,96.63865546218487,0.05635873560401862,0.1295628661559261,230,7694,8,test
0.1,15847,0.000489311732520197,0.014639994951725879,0.9747899159663865,97.47899159663865,0.02884675163195524,0.06905172926959938,232,15615,6,test
